"Videoanalyse: Tid (s)";"Videoanalyse: X (m)";"Videoanalyse: Y (m)";"Videoanalyse: X-hastighed (m/s)";"Videoanalyse: Y-hastighed (m/s)"
1,7;1,40677687715;1,13099413884;-0,0329712238747;3,0536425804
1,75;1,40905950034;1,31132137095;-0,100181795619;2,41894652081
1,8;1,393081138;1,38436531308;-0,0905440532559;1,91131648554
1,85;1,39764638438;1,49621384945;-0,0405799678458;1,50145881029
1,9;1,393081138;1,53958369009;-0,0545293317928;0,990404840237
1,95;1,39079851481;1,58980140029;-0,0469205878217;0,598554525726
2;1,38851589162;1,60121451625;-0,0494568358121;0,166124243369
2,05;1,38623326843;1,60121451625;-0,0532612077976;-0,162319871383
2,1;1,38395064524;1,59208402349;-0,0684786957398;-0,627721377615
2,15;1,37710277566;1,5350184437;-0,041848091841;-1,03478918007
2,2;1,37938539885;1,49393122626;-0,00507249598073;-1,5534518941
2,25;1,37710277566;1,3775174435;0,0228262319133;-2,01175190596
2,3;1,38166802205;1,29306038542;0,0500908978097;-2,46776929462
2,35;1,38395064524;1,11958102288;0,0507249598073;-3,01052636456
